City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,ust-nera,64.5667,143.2,8.3,87,6,1.86,RU,1723139255
109,krupina,48.3554,19.0647,19.88,83,52,4.24,SK,1723139256
110,mapleton,40.1302,-111.5785,28.94,29,75,3.09,US,1723139190
111,lebanon,36.2081,-86.2911,31.03,72,75,3.6,US,1723139258
112,oral,51.2333,51.3667,21.99,68,20,2.0,KZ,1723139259
113,aasiaat,68.7098,-52.8699,3.76,94,100,2.48,GL,1723139260
114,burang,30.25,81.1667,10.26,84,82,2.11,CN,1723139261
115,willowmore,-33.2926,23.4895,11.67,52,0,5.73,ZA,1723139263
116,bermejo,-32.8833,-68.8,6.95,57,40,1.03,AR,1723139264
117,bangassou,4.7413,22.8184,23.11,85,99,1.52,CF,1723139265
118,lompoc,34.6391,-120.4579,16.4,94,40,2.57,US,1723139266
119,qaqortoq,60.7167,-46.0333,5.19,98,100,2.49,GL,1723139267
120,georgetown,5.4112,100.3354,29.97,66,20,2.57,MY,1723139113
121,lata,40.1629,-8.3327,24.66,52,0,2.92,PT,1723139269
122,perry,37.2506,-83.1999,28.22,58,96,4.89,US,1723139270
123,manta,-0.95,-80.7333,26.88,74,75,6.69,EC,1723139271
124,balykshi,47.0667,51.8667,24.0,64,0,5.0,KZ,1723139272
125,labrador city,52.9463,-66.9114,13.95,72,75,1.54,CA,1723139274
126,dudinka,69.4058,86.1778,7.83,74,0,7.72,RU,1723139275
127,ketchikan,55.3422,-131.6461,19.26,68,0,3.6,US,1723139276
128,tura,25.5198,90.2201,23.78,98,99,3.46,IN,1723139277
129,ponta delgada,37.7333,-25.6667,25.4,61,20,5.14,PT,1723139278
130,mar del plata,-38.0023,-57.5575,9.01,85,100,9.77,AR,1723139180
131,hamada,34.8833,132.0833,26.37,71,94,1.73,JP,1723139280
132,jiagedaqi,50.4167,124.1167,14.09,96,16,1.3,CN,1723139281
133,khanskaya,44.677,39.9616,22.13,42,8,1.66,RU,1723139282
134,jayapura,-2.5333,140.7,21.33,94,46,1.49,ID,1723139283
135,as sulayyil,20.4607,45.5779,36.42,11,78,2.46,SA,1723139284
136,hithadhoo,-0.6,73.0833,27.98,71,100,6.2,MV,1723139285
137,basse-terre,16.1667,-61.6667,30.58,62,75,4.63,GP,1723139287
138,manaure,11.7751,-72.4445,31.71,60,33,4.55,CO,1723139288
139,thompson,55.7435,-97.8558,17.09,51,75,4.63,CA,1723139289
140,dunedin,-45.8742,170.5036,6.56,82,36,1.34,NZ,1723139290
141,umm kaddadah,13.6017,26.6876,26.34,65,100,7.33,SD,1723139291
142,axim,4.8699,-2.2405,23.97,81,100,3.17,GH,1723139044
143,ciudad lazaro cardenas,17.9583,-102.2,32.31,59,76,1.61,MX,1723139129
144,vorgashor,67.5833,63.95,8.21,72,29,3.62,RU,1723139294
145,sao vicente,-23.9631,-46.3919,20.98,83,100,2.06,BR,1723139295
146,divnomorskoye,44.5011,38.1353,23.29,53,9,3.54,RU,1723139296
147,la'ie,21.6477,-157.9253,26.17,76,78,2.24,US,1723139297
148,longyearbyen,78.2186,15.6401,13.91,77,0,1.54,SJ,1723139299
149,fuyang,32.9,115.8167,25.55,84,68,2.92,CN,1723139300
150,tazacorte,28.629,-17.9293,25.64,83,20,6.69,ES,1723139301
151,lepsy,46.235,78.9456,30.88,22,2,2.27,KZ,1723139302
152,kamloops,50.6665,-120.3192,21.55,40,20,1.54,CA,1723139303
153,aykhal,66.0,111.5,9.97,90,98,3.6,RU,1723139304
154,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,72,75,3.0,RU,1723139305
155,nagarpur,24.0533,89.874,26.73,88,100,5.34,BD,1723139306
156,iqaluit,63.7506,-68.5145,11.85,71,100,3.6,CA,1723139308
157,kulu,39.0951,33.0799,28.36,25,0,2.03,TR,1723139310
158,roswell,34.0232,-84.3616,33.35,65,0,5.66,US,1723139015
159,constantia,44.1833,28.65,23.36,67,0,2.97,RO,1723139312
